order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD052908,ID0370751497,2019-12-27,Bakers,"[('Olivia x460', 2), ('Universe Note', 1), ('iAssist Line', 1), ('pearTV', 1)]",16175,-1245.4300000000003,-37.812975200000004,144.9856429,25,10885.82,Summer,False,0.9062,bad product the product is not good there is some spot in the screen look in the picture thay give me bad phone i will never by a olivia phone any more thay are bad company i want my mony back,0.0
ORD214921,ID0589742849,2019-08-01,Thompson,"[('Toshika 750', 2), ('iStream', 1)]",23445,-12376.75,-37.8210279,144.9548593,15,7551.5,Winter,True,1.1551,great buy love my phone,1.0
ORD063421,ID3222703101,2019-03-11,Thompson,"[('Candle Inferno', 1), ('Thunder line', 1), ('Toshika 750', 1), ('pearTV', 2)]",14550,4816.220000000001,-37.8002006,144.9463261,5,18638.72,Autumn,True,1.3899,i don't like it. it not working . i don't like it .,0.0
ORD283097,ID6245731035,2019-06-26,Nickolson,"[('Olivia x460', 1), ('Toshika 750', 2), ('pearTV', 1)]",9910,5403.43,-37.8107123,144.97714950000002,15,13826.93,Winter,True,1.1029,very good for international use. used it for my international trips.,1.0
ORD427001,ID3072718449,2019-12-21,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Toshika 750', 1)]",12810,10734.79,-37.82512970000001,144.9567189,0,23544.79,Summer,True,1.3425,"i've been lucky i was lucky. it was un unlocked device. no major scratches or defects anywhere detected. all features are functioning as expected only scratches seen are on the back, which proves rhe phone is used and sold as renewed",1.0
ORD260067,ID0452381262,2019-12-27,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Universe Note', 1)]",1380,11294.4,-37.825342600000006,144.9513179,15,12467.4,Summer,True,1.459,"great phone, like new condition. works well. great phone. great condition. arrived on time. does not come with olivia charger or olivia box, but receives all updates. love my new phone. arrived sooner than promised.",1.0
ORD419100,ID0992113493,2019-05-20,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 1), ('iStream', 1), ('pearTV', 1)]",7920,1568.92,-37.8204421,144.96798959999995,25,7508.92,Autumn,True,0.2472,"verizon made it easy to switch from old phone. i like the phone, photos are great still learning new things with it, wish it came with a paper manual, and stylis. it does most everything i need to do.",1.0
ORD491496,ID1725216770,2019-09-30,Nickolson,"[('Thunder line', 1), ('Toshika 750', 1), ('pearTV', 1)]",20480,-7201.77,-37.80478529999999,144.96481509999995,5,12254.23,Spring,False,1.5927,"great phone for granddaughter really great phone! the phone was given to our granddaughter for christmas, and she is so very pleased with it.",1.0
ORD467681,ID0777781264,2019-03-29,Thompson,"[('Lucent 330S', 1), ('iStream', 1)]",15485,-12643.83,-37.80522070000001,144.95217319999998,10,1292.67,Autumn,False,0.9433,one star don't bother ... it broke shortly after receiving it,0.0
ORD130311,ID0579380061,2019-10-08,Thompson,"[('Toshika 750', 1), ('Universe Note', 1), ('iStream', 1)]",1530,6500.69,-37.8209667,144.9277688,0,8030.69,Spring,True,1.9321,it’s legitimately real worth it,1.0
ORD431835,ID3161948953,2019-05-18,Thompson,"[('Alcon 10', 2), ('Olivia x460', 2), ('Thunder line', 2)]",18740,5137.869999999999,-37.808363299999996,144.9574928,15,21066.87,Autumn,True,1.0347,"phone broke in 3 months bought this phone and had it delivered january 6th, 2016. it worked well for three months then shut itself off on april 8, 2016. i have replaced the battery hoping that was it, but no change. this is one of the few purchases i regret from digico after about 100 buys.",0.0
ORD007209,ID0702451781,2019-02-13,Thompson,"[('Thunder line', 1), ('iAssist Line', 1)]",1530,2214.27,-37.80447520000001,144.94263610000004,25,3361.77,Summer,False,0.9924,"don't like it. thanks small phone, don't like it. thanks!",0.0
ORD092544,ID0145245938,2019-12-20,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 1), ('Lucent 330S', 2), ('Toshika 750', 2)]",24310,-3374.540000000001,-37.816739500000004,144.9602506,10,18504.46,Summer,False,0.8435,i bought a second one! a wonderful phone especially for the price. if you want a considerably capable olivia phone at 10-20% of their flagship phone price than the a20 is the way to go. placed sim from my us at&t phone in this device and was up and running within minutes.,1.0
ORD424334,ID4655086241,2019-09-06,Thompson,"[('Toshika 750', 2), ('iAssist Line', 2), ('iStream', 2), ('pearTV', 1)]",7960,11236.080000000002,-37.8107635,144.9455767,5,18798.08,Spring,True,0.2498,"damage sorry, this video is unsupported on this browser.  got my phone but it's broken the person who i ship to received it lik that",0.0
ORD216698,ID5579711429,2019-06-17,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",8955,6614.049999999999,-37.796679600000004,144.93536980000005,0,15569.05,Winter,True,2.0563,highly recommend this phone i love my new i phone 7 plus.got a great price. new to pear i love it,1.0
ORD111328,ID0250933648,2019-08-25,Bakers,"[('Alcon 10', 1), ('Candle Inferno', 1), ('Lucent 330S', 2), ('Universe Note', 2)]",30850,-9013.43,-37.823107,145.0008062,25,14124.07,Winter,False,1.5396,excellent replacement phone this was a replacement phone and it was exactly what i expected. an excellent phone in excellent condition. no complaints.,1.0
ORD083824,ID1449289318,2019-03-24,Bakers,"[('Toshika 750', 2), ('Universe Note', 2)]",9380,5626.24,-37.8152092,144.9849396,10,14068.24,Autumn,True,1.0752,perfect excellent,1.0
ORD300908,ID0387153000,2019-03-06,Thompson,"[('Lucent 330S', 1), ('iStream', 2)]",5330,-3168.5299999999997,-37.8094878,144.9443145,15,1361.97,Autumn,True,0.4294,waste of money! as i turned it on this is what came on the screen... dont waste ur money buying this!,0.0
ORD161840,ID0746912567,2019-10-16,Nickolson,"[('Candle Inferno', 1), ('Thunder line', 2), ('Universe Note', 2), ('pearTV', 2)]",10420,12580.810000000001,-37.824459499999996,144.98299780000005,10,21958.81,Spring,False,1.3507,five stars works perfectly fine. i sent it overseas and my cousins is enjoying it very well.,1.0
ORD221443,ID6167266615,2019-07-03,Nickolson,"[('Thunder line', 2), ('Universe Note', 1), ('iStream', 1)]",9220,-1006.79,-37.8117065,144.9646647,15,6830.21,Winter,False,0.879,"works great this is a great phone, takes fantastic pics, operates very smooth. it was an at*t phone, am using it on tmobile and it was unlocked as claimed by the seller, have run the oreo update without any issues! would definitely buy from them again.",1.0
ORD415949,ID0301542641,2019-06-10,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 1), ('Thunder line', 1), ('Toshika 750', 1)]",25660,-15807.629999999997,-37.819407399999996,144.94962080000005,5,8569.37,Winter,False,0.7825,good deal good phone factory unlocked as advertized very happy,1.0
ORD105667,ID2699709064,2019-09-06,Nickolson,"[('Olivia x460', 2), ('Thunder line', 2)]",21270,-13677.189999999999,-37.8156369,144.96573419999999,5,6529.31,Spring,False,0.4702,two stars the keyboard so hard to tape in.,0.0
ORD464639,ID3215191980,2019-08-06,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 2), ('Toshika 750', 2), ('Universe Note', 1)]",24620,5985.310000000001,-37.8064033,144.95547340000005,5,29374.31,Winter,False,1.0166,"like brand new so far so good, like new",1.0
ORD267902,ID2613010008,2019-04-21,Thompson,"[('Alcon 10', 2), ('Universe Note', 1), ('iAssist Line', 2)]",6770,17192.18,-37.8093814,144.9317534,10,23285.18,Autumn,False,1.3959,pretty good after a month or so it never held charge the same. but i just like notes.,1.0
ORD384256,ID2657082788,2019-03-18,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 1)]",12220,-2502.9699999999993,-37.8026875,144.95956669999995,10,8495.03,Autumn,False,1.5633,"disappointed!!! got this phone for my son's birthday, it worked great for a month but then the sim card stopped working. tried replacing it but the phone will not recognize that there is a card in there. so bummed!!",0.0
ORD201957,ID6167344533,2019-08-31,Nickolson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('iStream', 1)]",35310,-22411.510000000002,-37.8148298,144.9692039,25,4070.99,Winter,True,0.4202,"love this phone! loving this new phone! i can actually see the screen! was a little worried bout buying a used phone but so far it's working well except for a freeze up every now and then, but not enough to be annoying. it's been a great phone so far!",1.0
ORD338251,ID2288769459,2019-02-11,Bakers,"[('Lucent 330S', 2), ('Thunder line', 2), ('Universe Note', 1), ('iStream', 1)]",17870,-6250.23,-37.801406899999996,145.003197,15,8939.27,Summer,True,1.1853,terrible i received my phone in decent condition but notice after 10 mins using it would over heat then the screen all sudden there be like a glitch just terrible so i returned it,0.0
ORD077083,ID2190483585,2019-04-23,Thompson,"[('Olivia x460', 1), ('Thunder line', 2)]",12400,-5726.46,-37.8080765,144.96041200000005,15,4813.54,Autumn,False,1.2802,perfect! looks brand new.,1.0
ORD418564,ID4391665566,2019-06-16,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('iStream', 1)]",7520,1677.5,-37.812855600000006,144.96344150000004,5,8821.5,Winter,True,0.8348,"horrible! this phone is the worst ever! i ordered it as a gift to my mother’s birthday, she can’t stand how slow it is, she would literally try launching an app and go do something around the house and come back and find that it’s still loading! such a mess and so embarrassing!",0.0
ORD224527,ID1463620935,2019-04-10,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 2), ('Universe Note', 2)]",14580,10038.880000000001,-37.8163839,145.0041885,10,23160.88,Autumn,False,1.0611,zero issues i was leery about purchasing this with the mixed reviews but i have to say it arrived and looked brand new. i swapped the sim from my old phone and it activated without issue. i ended up buying another one for my mom and hers also arrived like new and has no issues.,1.0
ORD362360,ID1985549821,2019-01-05,Nickolson,"[('Alcon 10', 1), ('Lucent 330S', 1), ('Olivia x460', 2), ('Toshika 750', 2)]",3980,13051.85,-37.8021603,144.9666228,25,16036.85,Summer,False,1.8475,"great phone, except for battery life overall i really like the s7 edge. my only complaint so far is the very poor battery life. even when the power saving mode is turned on, the battery drains very quickly for a new phone. once it gets down to around 20%, better find a charger fast!!",1.0
ORD108888,ID4754200375,2019-09-04,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 2), ('Universe Note', 2), ('pearTV', 1)]",7070,16779.94,-37.81517520000001,144.927539,5,23496.44,Spring,True,1.7399,"great shape, thank you fast, great shape, thank you!!!!",1.0
ORD048491,ID1889811011,2019-11-13,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1)]",5675,1047.9499999999998,-37.788906299999994,144.9375094,15,5871.7,Spring,True,2.7761,"we really love our thunder line, we can get questions answered right away and play any music we can think of.",1.0
ORD359618,ID0596909539,2019-06-04,Nickolson,"[('Toshika 750', 1), ('Universe Note', 1), ('iAssist Line', 2)]",26245,-10441.690000000002,-37.8127229,144.96264130000003,25,9242.06,Winter,True,0.8925,100% great great works great 100%,1.0
ORD372072,ID0248969213,2019-01-07,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 1), ('Thunder line', 2), ('pearTV', 2)]",31710,3332.0099999999984,-37.8036911,144.99204640000005,10,31871.01,Summer,True,0.7557,like pear products phone was a gift for friend they are very pleased with alcon x,1.0
ORD103986,ID0709978061,2019-06-23,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 2), ('iStream', 1), ('pearTV', 1)]",14950,2694.59,-37.8148583,144.9360023,10,16149.59,Winter,False,1.0031,"super great deal item came much faster than quoted. super great deal, phone is like new! so happy!",1.0
ORD353046,ID1668523280,2019-02-28,Nickolson,"[('Toshika 750', 1), ('pearTV', 2)]",7250,8309.24,-37.821195,144.9626465,15,14471.74,Summer,False,0.6726,five stars love this phone !!! it works real good !!!,1.0
ORD017200,ID6167357852,2019-08-05,Nickolson,"[('Alcon 10', 1), ('Universe Note', 1)]",3455,7666.92,-37.80946760000001,144.9723439,15,10603.67,Winter,True,1.0453,false propaganda the speaker didn't work from the start and the charger port on the phone stop working in a month very disappointed they are selling refurbished products as new,0.0
ORD459493,ID4754200394,2019-06-16,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Olivia x460', 2), ('Thunder line', 1)]",3410,3986.0299999999997,-37.8161658,144.92873930000005,5,7225.53,Winter,True,1.6581,olivia the best great 📱 really easy to work.,1.0
ORD095618,ID0131247404,2019-12-29,Nickolson,"[('Olivia x460', 2), ('Thunder line', 2), ('Toshika 750', 1), ('Universe Note', 1)]",11490,2391.5499999999993,-37.814212299999994,144.9612641,25,11009.05,Summer,False,0.877,easy setup. was up and running in minutes. the learning feature is outstanding. now i know why digico is so far ahead of the competition.,1.0
ORD225234,ID0778812532,2019-12-18,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('iStream', 2)]",24210,-17092.59,-37.7997138,144.95787119999997,15,3485.91,Summer,True,1.7273,was nervous but so far happy i've had the phone for a week. it is in amazing condition. it works great aside from getting warm while video chatting. fingers crossed that it continues to work well. will try to do follow up later.,1.0
ORD485051,ID3967630091,2019-06-17,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1), ('iStream', 2)]",14465,-7346.12,-37.818149,144.9523633,0,7118.88,Winter,False,0.767,used quality phone started messing up with lines popping up on screen and getting worse. waste of money! and no warranty after only 2 months.,0.0
ORD384292,ID6167265870,2019-10-29,Nickolson,"[('Universe Note', 1), ('iAssist Line', 1)]",16710,-9858.36,-37.81542279999999,144.9666571,10,5180.64,Spring,False,0.4353,nothing much it's really nice phone,1.0
ORD145569,ID6222911366,2019-03-14,Bakers,"[('Alcon 10', 1), ('Olivia x460', 2), ('iAssist Line', 1), ('pearTV', 2)]",11410,14919.779999999999,-37.8218208,145.0151535,0,26329.78,Autumn,True,2.1913,really like the updates this product has in comparison to my first one,1.0
ORD208162,ID2462381381,2019-02-01,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 2), ('Universe Note', 2), ('iAssist Line', 2)]",22070,9263.189999999999,-37.7997319,144.96368059999998,5,30229.69,Summer,True,2.0518,note 5* a very nice phone.,1.0
ORD124947,ID0054399736,2019-03-12,Thompson,"[('Toshika 750', 2), ('pearTV', 1)]",34075,-19070.85,-37.8020875,144.94971840000005,0,15004.15,Autumn,False,1.2012,one star selamawi,0.0
ORD217687,ID4740822046,2019-08-22,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Thunder line', 2)]",8760,-1207.0,-37.8039516,144.94984219999995,15,6239.0,Winter,True,1.001,five stars my sis loved this phone.,1.0
ORD359684,ID1463620986,2019-12-28,Bakers,"[('Lucent 330S', 1), ('iAssist Line', 1)]",20670,-16257.75,-37.8188428,145.0017772,5,3378.75,Summer,True,1.1407,great phone!!! this phone came in on time and it is as good as new. my cousin had to order after she saw mime. i'm so happy with my purchase.,1.0
ORD058247,ID0356098596,2019-12-13,Bakers,"[('Lucent 330S', 1), ('Olivia x460', 1), ('iStream', 2)]",4265,-1279.31,-37.821277,144.99183530000005,10,2559.19,Summer,False,1.2908,five stars perfect item for my daughter.,1.0
ORD376207,ID0114581307,2019-01-06,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1)]",7630,-4165.45,-37.8167011,144.9662052,0,3464.55,Summer,False,0.362,misleading did not come with pen as advertised.,0.0
ORD270942,ID6167344383,2019-10-13,Nickolson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('pearTV', 1)]",7855,3713.3500000000004,-37.8098938,144.96659630000005,0,11568.35,Spring,False,1.0028,"excellent quality, excellent, delivery time excellent, pricing excellent,",1.0
ORD178986,ID3218293526,2019-06-02,Thompson,"[('Alcon 10', 2), ('pearTV', 1)]",23750,489.6399999999994,-37.802814399999995,144.9473472,5,23052.14,Winter,False,1.0977,probably refurbished and sold for new said repairman bought in feb. broke and not reparable in june of same year. repairman said looked like it was refurbished rather than new. not virus. not on internet. not able to return.,0.0
ORD070705,ID0282852660,2019-01-27,Bakers,"[('Olivia x460', 1), ('Toshika 750', 2), ('iAssist Line', 2), ('iStream', 1)]",16940,-2246.379999999999,-37.7968922,145.0095675,5,13846.62,Summer,True,1.9281,a very good store to order from . the phone arrived when it was supposed to and exactly as expected. features and the color.,1.0
ORD452607,ID6167441019,2019-11-16,Thompson,"[('Candle Inferno', 1), ('Universe Note', 1), ('iStream', 2), ('pearTV', 1)]",30210,-14708.369999999999,-37.8080569,144.96048380000005,25,7949.13,Spring,False,1.2868,trusted seller nice and get clean,1.0
ORD204768,ID4315827370,2019-09-14,Bakers,"[('Candle Inferno', 1), ('Thunder line', 1)]",9650,-5908.75,-37.814063,145.00001890000001,15,2293.75,Spring,False,0.6182,"great durable phone ! one of the best phones i've ever had. long lasting battery, good front and rear camera and bright display.",1.0
ORD251078,ID0529158783,2019-12-09,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Olivia x460', 2), ('iAssist Line', 2)]",20040,-3078.120000000001,-37.824423700000004,144.9365901,5,15959.88,Summer,True,1.6,it was cracked when i got it was crack and the just stopped working i didn't have the money to send back,0.0
ORD354851,ID3208518278,2019-06-23,Nickolson,"[('Alcon 10', 1), ('Lucent 330S', 2)]",11060,334.47999999999956,-37.80389829999999,144.96749780000005,25,8629.48,Winter,False,1.6459,works great gift for our nephew and he loved it. works great.,1.0
ORD309050,ID0387152993,2019-05-19,Thompson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Thunder line', 2), ('pearTV', 1)]",17410,4257.25,-37.8064066,144.9475926,10,19926.25,Autumn,False,0.6991,five stars great!,1.0
ORD388267,ID0589424053,2019-08-02,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Toshika 750', 2), ('pearTV', 1)]",6685,20620.58,-37.809434,144.9726354,25,25634.33,Winter,True,1.0552,bought it for my daughter. works great store personnel did an excellent job,1.0
ORD068669,ID0356124993,2019-12-13,Nickolson,"[('Olivia x460', 2), ('pearTV', 1)]",22350,-13513.54,-37.816708399999996,144.9813454,0,8836.46,Summer,False,1.0582,"five stars love the phone, its sleekness, and its performance. the microsd card slot is always a joyful bonus.",1.0
ORD240267,ID0630463867,2019-01-09,Bakers,"[('Universe Note', 1), ('iAssist Line', 2), ('iStream', 1), ('pearTV', 2)]",18375,2278.3499999999985,-37.8020929,144.9795497,5,19734.6,Summer,True,1.636,"works decent, wish it was able to answer more questions....need a better source for info but the rest works great!",1.0
ORD346567,ID4299936435,2019-03-29,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 1), ('Thunder line', 1)]",18150,-12427.46,-37.81630670000001,145.01350380000005,10,3907.54,Autumn,False,1.7537,five stars great phone and fast enough for what i need.,1.0
ORD269234,ID3775019754,2019-10-08,Bakers,"[('Candle Inferno', 1), ('Universe Note', 2), ('iStream', 2)]",28830,-19001.739999999998,-37.8082689,144.983458,10,6945.26,Spring,False,1.0532,love it! amazing phone! i purchased from warehouse deals inc. used and it has been a great buy! the device came opened but in perfect condition. love it!,1.0
ORD485592,ID4716795525,2019-02-19,Thompson,"[('Alcon 10', 2), ('Universe Note', 2), ('pearTV', 2)]",8060,29432.559999999998,-37.818741100000004,144.953228,0,37492.56,Summer,False,0.8658,i decided to buy this instead of a traditional candle and i do not regret my decision at all!the only con (for those evaluating this as a tablet) is that digico has their own app store. many apps from googleplay/appstore are simply not available.,1.0
ORD361227,ID0035524331,2019-10-12,Thompson,"[('Thunder line', 1), ('Universe Note', 1), ('iAssist Line', 1)]",15075,-7153.19,-37.7995523,144.9510158,0,7921.81,Spring,False,1.5013,two stars battery problm,0.0
ORD241483,ID3158860637,2019-12-07,Thompson,"[('Olivia x460', 2), ('Thunder line', 2), ('Toshika 750', 1), ('pearTV', 2)]",27935,-3881.7999999999993,-37.8147239,144.9584132,5,22656.45,Summer,True,1.0234,this thing is great if you have internet and digico gold.,1.0
ORD140001,ID4952477288,2019-12-16,Thompson,"[('Toshika 750', 1), ('pearTV', 2)]",15070,1754.6299999999992,-37.809297799999996,144.95452749999995,10,15317.63,Summer,False,0.7559,"so far so good. i was little nervous ordering international model but i am glad i did. similar specs in g7/one is almost $100+. no issues in connectivity in us so far, writing review after using it for 2 weeks.",1.0
ORD042543,ID0041675732,2019-04-21,Nickolson,"[('iAssist Line', 2), ('pearTV', 2)]",23800,-6314.719999999999,-37.82341160000001,144.97689430000003,5,16295.28,Autumn,True,0.8393,"nice phone with few flaws. not too good os skin, poor battery life. fast an excellent screen.",1.0
ORD247837,ID2143839962,2019-04-26,Thompson,"[('Alcon 10', 1), ('Toshika 750', 2), ('pearTV', 2)]",9865,20412.68,-37.8036511,144.9365946,0,30277.68,Autumn,False,1.3628,i love it! i love it !!! and to get it for a penny i got 3 universe for gift with my plan,1.0
ORD140982,ID0702451267,2019-11-29,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 2), ('iStream', 1)]",12360,-2647.290000000001,-37.80444,144.9431654,0,9712.71,Spring,False,0.9787,no funciona me llego y el micrófono no anda. soy de argentina,0.0
ORD298114,ID0267350556,2019-11-12,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Toshika 750', 2)]",7535,12565.779999999999,-37.8240593,144.9735177,0,20100.78,Spring,False,0.7012,i am very dis pointed about the phone it is ... i am very dis pointed about the phone it is dead now i really do not know what to do with this phone now ...please help me to solve this,0.0
ORD083160,ID0306968281,2019-05-31,Thompson,"[('Olivia x460', 1), ('Toshika 750', 1), ('Universe Note', 2), ('iAssist Line', 1)]",17070,-1974.2700000000004,-37.8160428,144.93256680000005,15,12535.23,Autumn,True,1.3293,two stars didn't like,0.0
ORD470482,ID0576834657,2019-08-06,Bakers,"[('iAssist Line', 2), ('iStream', 2), ('pearTV', 1)]",13780,-2516.16,-37.8189685,144.98499840000005,5,10574.84,Winter,False,1.3444,work great good price good battery android one rocks,1.0
ORD205849,ID2191736652,2019-09-08,Nickolson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('pearTV', 1)]",24710,-6126.370000000001,-37.822619399999994,144.95563,15,14877.13,Spring,False,1.3035,five stars best phone i have every ownd,1.0
ORD151849,ID0845656321,2019-06-08,Nickolson,"[('Candle Inferno', 2), ('Universe Note', 1), ('iAssist Line', 1), ('iStream', 1)]",14930,-8199.14,-37.818057,144.9676608,0,6730.86,Winter,False,0.1767,"not as advertised the phone was not unlocked, i wasted hours with verizon trying to get this crap working !",0.0
ORD162834,ID3394725370,2019-06-12,Nickolson,"[('Toshika 750', 1), ('iStream', 2), ('pearTV', 1)]",22950,-11370.17,-37.8150872,144.96066499999995,5,10432.33,Winter,False,0.8735,this is a locked verizon phone!!! i didn't notice the prior review that said this until i received the phone and could not use it. digico should take steps to correct the description . i finally paid a tech guy to unlock the phone.,0.0
ORD178062,ID0781111851,2019-02-08,Bakers,"[('Alcon 10', 2), ('iAssist Line', 2)]",6865,14784.66,-37.82079760000001,145.0164148,5,21306.41,Summer,False,2.2172,"network issues the phone loses network connection too often. i connect to a home wifi along with other devices such as an ipad, laptop, etc. however, this phone loses network while other devices continue to play browse without glitches. this also happens to mobile calls; during calls, network bars disappear abruptly.",0.0
ORD067338,ID5402876166,2019-01-29,Nickolson,"[('Alcon 10', 1), ('Universe Note', 2), ('iAssist Line', 1), ('iStream', 2)]",5825,11387.630000000001,-37.82005570000001,144.9768385,10,16630.13,Summer,True,0.6611,"great android phone! i have to carry 2 phones. i'm on call and my work provides an alcon and i still like the ""home button"". this s7 is the last of the androids that have a ""home button"". i also like that i can add microsd memory.",1.0
ORD357930,ID4520380495,2019-10-03,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Universe Note', 2), ('iStream', 1)]",1960,16289.75,-37.8092714,144.95530180000003,0,18249.75,Spring,True,0.8171,"this phone is a beast. the phone itself is amazing. super fast, thin, and modular accessories make it the best phone. it is severely underrated. i wish lucentrola had better support for it though. and, the software could use a few features like glove mode. otherwise, it is an absolute beast.",1.0
ORD225728,ID0575379881,2019-06-15,Nickolson,"[('Candle Inferno', 2), ('Universe Note', 2), ('iStream', 2)]",9760,-1380.3900000000003,-37.819713,144.9825629,15,6915.61,Winter,False,1.1509,"worth worth the money, way better than my old alcon x.",1.0
